raceId,raceName,date,predicted_winner,win_probability,top_3
1121,Bahrain Grand Prix,2024-03-02,Lando Norris,3.6822992e-06,"['Lando Norris', 'Pierre Gasly', 'Valtteri Bottas']"
1122,Saudi Arabian Grand Prix,2024-03-09,Max Verstappen,0.00018302859,"['Max Verstappen', 'Logan Sargeant', 'Zhou Guanyu']"
1123,Australian Grand Prix,2024-03-24,Nico Hulkenberg,1.0897899e-06,"['Nico Hulkenberg', 'Kevin Magnussen', 'Oscar Piastri']"
1124,Japanese Grand Prix,2024-04-07,Kevin Magnussen,2.6911232e-06,"['Kevin Magnussen', 'Yuki Tsunoda', 'Carlos Sainz']"
1125,Chinese Grand Prix,2024-04-21,Max Verstappen,4.1535226e-05,"['Max Verstappen', 'Lando Norris', 'Zhou Guanyu']"
1126,Miami Grand Prix,2024-05-05,Esteban Ocon,3.5055416e-07,"['Esteban Ocon', 'Sergio Perez', 'Yuki Tsunoda']"
1127,Emilia Romagna Grand Prix,2024-05-19,Max Verstappen,1.4792922e-06,"['Max Verstappen', 'Oscar Piastri', 'Valtteri Bottas']"
1128,Monaco Grand Prix,2024-05-26,Daniel Ricciardo,2.4451884e-07,"['Daniel Ricciardo', 'Nico Hulkenberg', 'Oscar Piastri']"
1129,Canadian Grand Prix,2024-06-09,Charles Leclerc,5.9204085e-05,"['Charles Leclerc', 'Lando Norris', 'Esteban Ocon']"
1130,Spanish Grand Prix,2024-06-23,Max Verstappen,0.004919846,"['Max Verstappen', 'Lance Stroll', 'Logan Sargeant']"
1131,Austrian Grand Prix,2024-06-30,Max Verstappen,0.0013759341,"['Max Verstappen', 'Nico Hulkenberg', 'Charles Leclerc']"
1132,British Grand Prix,2024-07-07,Max Verstappen,0.03616145,"['Max Verstappen', 'Charles Leclerc', 'Pierre Gasly']"
1133,Hungarian Grand Prix,2024-07-21,Lando Norris,0.00027915716,"['Lando Norris', 'Lewis Hamilton', 'Charles Leclerc']"
1134,Belgian Grand Prix,2024-07-28,Nico Hulkenberg,2.8350769e-05,"['Nico Hulkenberg', 'Kevin Magnussen', 'Max Verstappen']"
1135,Dutch Grand Prix,2024-08-25,Max Verstappen,4.2331867e-05,"['Max Verstappen', 'Sergio Perez', 'Pierre Gasly']"
1136,Italian Grand Prix,2024-09-01,Pierre Gasly,2.9590158e-06,"['Pierre Gasly', 'Carlos Sainz', 'Zhou Guanyu']"
1137,Azerbaijan Grand Prix,2024-09-15,Max Verstappen,0.0028446894,"['Max Verstappen', 'Kevin Magnussen', 'Pierre Gasly']"
1138,Singapore Grand Prix,2024-09-22,Sergio Perez,1.2527491e-06,"['Sergio Perez', 'Yuki Tsunoda', 'Logan Sargeant']"
1139,United States Grand Prix,2024-10-20,Logan Sargeant,4.5816028e-06,"['Logan Sargeant', 'Fernando Alonso', 'Max Verstappen']"
1140,Mexico City Grand Prix,2024-10-27,Zhou Guanyu,1.1476074e-13,"['Zhou Guanyu', 'Max Verstappen', 'Sergio Perez']"
1141,São Paulo Grand Prix,2024-11-03,Max Verstappen,7.334991e-05,"['Max Verstappen', 'Charles Leclerc', 'Nico Hulkenberg']"
1142,Las Vegas Grand Prix,2024-11-23,Max Verstappen,0.10495648,"['Max Verstappen', 'Charles Leclerc', 'Oscar Piastri']"
1143,Qatar Grand Prix,2024-12-01,Zhou Guanyu,1.1286475e-06,"['Zhou Guanyu', 'Max Verstappen', 'Pierre Gasly']"
1144,Abu Dhabi Grand Prix,2024-12-08,Valtteri Bottas,1.2196456e-06,"['Valtteri Bottas', 'Max Verstappen', 'George Russell']"
