raceId,raceName,date,predicted_winner,win_probability,top_3
1121,Bahrain Grand Prix,2024-03-02,Max Verstappen,0.057714779711037195,"['Max Verstappen', 'Nico Hulkenberg', 'Kevin Magnussen']"
1122,Saudi Arabian Grand Prix,2024-03-09,Max Verstappen,0.17050808455522448,"['Max Verstappen', 'Kevin Magnussen', 'Sergio Perez']"
1123,Australian Grand Prix,2024-03-24,Max Verstappen,0.13079966795078452,"['Max Verstappen', 'Zhou Guanyu', 'Logan Sargeant']"
1124,Japanese Grand Prix,2024-04-07,Max Verstappen,0.05941344819234025,"['Max Verstappen', 'Zhou Guanyu', 'Pierre Gasly']"
1125,Chinese Grand Prix,2024-04-21,Max Verstappen,0.1893486135349095,"['Max Verstappen', 'Zhou Guanyu', 'Kevin Magnussen']"
1126,Miami Grand Prix,2024-05-05,Max Verstappen,0.06534900524681744,"['Max Verstappen', 'Zhou Guanyu', 'Sergio Perez']"
1127,Emilia Romagna Grand Prix,2024-05-19,Max Verstappen,0.13577129125886575,"['Max Verstappen', 'Kevin Magnussen', 'Daniel Ricciardo']"
1128,Monaco Grand Prix,2024-05-26,Max Verstappen,0.055041322365103514,"['Max Verstappen', 'Valtteri Bottas', 'Zhou Guanyu']"
1129,Canadian Grand Prix,2024-06-09,Max Verstappen,0.055205209607785855,"['Max Verstappen', 'Kevin Magnussen', 'Valtteri Bottas']"
1130,Spanish Grand Prix,2024-06-23,Max Verstappen,0.07310841066262468,"['Max Verstappen', 'Kevin Magnussen', 'Logan Sargeant']"
1131,Austrian Grand Prix,2024-06-30,Max Verstappen,0.14076498209365404,"['Max Verstappen', 'Zhou Guanyu', 'Oscar Piastri']"
1132,British Grand Prix,2024-07-07,Max Verstappen,0.059711912121478194,"['Max Verstappen', 'Kevin Magnussen', 'Nico Hulkenberg']"
1133,Hungarian Grand Prix,2024-07-21,Max Verstappen,0.06108037471100337,"['Max Verstappen', 'Sergio Perez', 'Logan Sargeant']"
1134,Belgian Grand Prix,2024-07-28,Max Verstappen,0.06615974757553605,"['Max Verstappen', 'Valtteri Bottas', 'Alexander Albon']"
1135,Dutch Grand Prix,2024-08-25,Max Verstappen,0.1483026102948209,"['Max Verstappen', 'Logan Sargeant', 'Kevin Magnussen']"
1136,Italian Grand Prix,2024-09-01,Max Verstappen,0.14056348069164584,"['Max Verstappen', 'Nico Hulkenberg', 'Sergio Perez']"
1137,Azerbaijan Grand Prix,2024-09-15,Max Verstappen,0.055556773315407496,"['Max Verstappen', 'Valtteri Bottas', 'Kevin Magnussen']"
1138,Singapore Grand Prix,2024-09-22,Max Verstappen,0.07264777919223907,"['Max Verstappen', 'Zhou Guanyu', 'Kevin Magnussen']"
1139,United States Grand Prix,2024-10-20,Max Verstappen,0.12276868017899505,"['Max Verstappen', 'Nico Hulkenberg', 'Yuki Tsunoda']"
1140,Mexico City Grand Prix,2024-10-27,Max Verstappen,0.09501671886533129,"['Max Verstappen', 'Zhou Guanyu', 'Charles Leclerc']"
1141,São Paulo Grand Prix,2024-11-03,Max Verstappen,0.09071473103772254,"['Max Verstappen', 'Valtteri Bottas', 'Fernando Alonso']"
1142,Las Vegas Grand Prix,2024-11-23,Max Verstappen,0.07769236768533334,"['Max Verstappen', 'Sergio Perez', 'Alexander Albon']"
1143,Qatar Grand Prix,2024-12-01,Max Verstappen,0.056241419354093214,"['Max Verstappen', 'Valtteri Bottas', 'Kevin Magnussen']"
1144,Abu Dhabi Grand Prix,2024-12-08,Max Verstappen,0.05636517564866047,"['Max Verstappen', 'Nico Hulkenberg', 'Valtteri Bottas']"
