raceId,raceName,date,winner,winProbability,topThree
1121,Bahrain Grand Prix,2024-03-02,Charles Leclerc,0.006444444444444444,"['Charles Leclerc', 'Sergio Perez', 'Max Verstappen']"
1122,Saudi Arabian Grand Prix,2024-03-09,George Russell,0.005,"['George Russell', 'Max Verstappen', 'Nico Hulkenberg']"
1123,Australian Grand Prix,2024-03-24,Daniel Ricciardo,0.0075,"['Daniel Ricciardo', 'Logan Sargeant', 'Fernando Alonso']"
1124,Japanese Grand Prix,2024-04-07,Max Verstappen,0.0111025641025641,"['Max Verstappen', 'George Russell', 'Daniel Ricciardo']"
1125,Chinese Grand Prix,2024-04-21,Fernando Alonso,0.006875,"['Fernando Alonso', 'Max Verstappen', 'Yuki Tsunoda']"
1126,Miami Grand Prix,2024-05-05,Max Verstappen,0.022368797868797866,"['Max Verstappen', 'Charles Leclerc', 'Lewis Hamilton']"
1127,Emilia Romagna Grand Prix,2024-05-19,Lando Norris,0.005,"['Lando Norris', 'Max Verstappen', 'George Russell']"
1128,Monaco Grand Prix,2024-05-26,Max Verstappen,0.023083083583083582,"['Max Verstappen', 'Fernando Alonso', 'Alexander Albon']"
1129,Canadian Grand Prix,2024-06-09,Max Verstappen,0.07766208791208791,"['Max Verstappen', 'Charles Leclerc', 'Daniel Ricciardo']"
1130,Spanish Grand Prix,2024-06-23,Sergio Perez,0.02052631578947368,"['Sergio Perez', 'Max Verstappen', 'Logan Sargeant']"
1131,Austrian Grand Prix,2024-06-30,Max Verstappen,0.02890018315018315,"['Max Verstappen', 'Sergio Perez', 'George Russell']"
1132,British Grand Prix,2024-07-07,Max Verstappen,0.005602564102564103,"['Max Verstappen', 'Pierre Gasly', 'Sergio Perez']"
1133,Hungarian Grand Prix,2024-07-21,Max Verstappen,0.03643589743589744,"['Max Verstappen', 'Zhou Guanyu', 'Alexander Albon']"
1134,Belgian Grand Prix,2024-07-28,Max Verstappen,0.038376373626373625,"['Max Verstappen', 'Lewis Hamilton', 'Nico Hulkenberg']"
1135,Dutch Grand Prix,2024-08-25,Max Verstappen,0.018083083583083585,"['Max Verstappen', 'Fernando Alonso', 'George Russell']"
1136,Italian Grand Prix,2024-09-01,Max Verstappen,0.029173992673992673,"['Max Verstappen', 'Nico Hulkenberg', 'Yuki Tsunoda']"
1137,Azerbaijan Grand Prix,2024-09-15,George Russell,0.05266666666666667,"['George Russell', 'Max Verstappen', 'Lando Norris']"
1138,Singapore Grand Prix,2024-09-22,Max Verstappen,0.002511655011655012,"['Max Verstappen', 'Zhou Guanyu', 'Yuki Tsunoda']"
1139,United States Grand Prix,2024-10-20,Carlos Sainz,0.008,"['Carlos Sainz', 'Max Verstappen', 'Nico Hulkenberg']"
1140,Mexico City Grand Prix,2024-10-27,Max Verstappen,0.04837637362637363,"['Max Verstappen', 'George Russell', 'Sergio Perez']"
1141,São Paulo Grand Prix,2024-11-03,Max Verstappen,0.02890018315018315,"['Max Verstappen', 'Fernando Alonso', 'Zhou Guanyu']"
1142,Las Vegas Grand Prix,2024-11-23,Max Verstappen,0.092991452991453,"['Max Verstappen', 'Charles Leclerc', 'Zhou Guanyu']"
1143,Qatar Grand Prix,2024-12-01,Fernando Alonso,0.011666666666666665,"['Fernando Alonso', 'Max Verstappen', 'Alexander Albon']"
1144,Abu Dhabi Grand Prix,2024-12-08,Max Verstappen,0.022019230769230767,"['Max Verstappen', 'Lewis Hamilton', 'Nico Hulkenberg']"
