raceId,raceName,date,predicted_winner,win_probability,actual_winner,prediction_correct
1121,Bahrain Grand Prix,2024-03-02,Max Verstappen,0.03871428571428571,Max Verstappen,True
1122,Saudi Arabian Grand Prix,2024-03-09,Lewis Hamilton,0.06564285714285716,Max Verstappen,False
1123,Australian Grand Prix,2024-03-24,Lance Stroll,0.046,Carlos Sainz,False
1124,Japanese Grand Prix,2024-04-07,Carlos Sainz,0.05538095238095238,Max Verstappen,False
1125,Chinese Grand Prix,2024-04-21,Max Verstappen,0.026880952380952373,Max Verstappen,True
1126,Miami Grand Prix,2024-05-05,Max Verstappen,0.12752380952380948,Lando Norris,False
1127,Emilia Romagna Grand Prix,2024-05-19,Alexander Albon,0.07497619047619049,Max Verstappen,False
1128,Monaco Grand Prix,2024-05-26,Max Verstappen,0.04271428571428571,Charles Leclerc,False
1129,Canadian Grand Prix,2024-06-09,Max Verstappen,0.04128571428571428,Max Verstappen,True
1130,Spanish Grand Prix,2024-06-23,Max Verstappen,0.04511904761904762,Max Verstappen,True
1131,Austrian Grand Prix,2024-06-30,Max Verstappen,0.1357857142857143,George Russell,False
1132,British Grand Prix,2024-07-07,Max Verstappen,0.07334890378438766,Lewis Hamilton,False
1133,Hungarian Grand Prix,2024-07-21,Max Verstappen,0.11345238095238097,Oscar Piastri,False
1134,Belgian Grand Prix,2024-07-28,Max Verstappen,0.07807142857142857,Lewis Hamilton,False
1135,Dutch Grand Prix,2024-08-25,Max Verstappen,0.05476557045105432,Lando Norris,False
1136,Italian Grand Prix,2024-09-01,Lewis Hamilton,0.0917142857142857,Charles Leclerc,False
1137,Azerbaijan Grand Prix,2024-09-15,Sergio Perez,0.11120821661998136,Oscar Piastri,False
1138,Singapore Grand Prix,2024-09-22,Lewis Hamilton,0.0836203007518797,Lando Norris,False
1139,United States Grand Prix,2024-10-20,Max Verstappen,0.1571475468975469,Charles Leclerc,False
1140,Mexico City Grand Prix,2024-10-27,Max Verstappen,0.24864285714285717,Carlos Sainz,False
1141,São Paulo Grand Prix,2024-11-03,Max Verstappen,0.16905128473676861,Max Verstappen,True
1142,Las Vegas Grand Prix,2024-11-23,Max Verstappen,0.17800000000000002,George Russell,False
1143,Qatar Grand Prix,2024-12-01,Lando Norris,0.035512820512820516,Max Verstappen,False
1144,Abu Dhabi Grand Prix,2024-12-08,Lewis Hamilton,0.07163095238095238,Lando Norris,False
