raceId,raceName,date,predicted_winner,win_probability,top_3,actual_winner,prediction_correct
1121,Bahrain Grand Prix,2024-03-02,Max Verstappen,0.0066152047,"['Max Verstappen', 'Lance Stroll', 'George Russell']",Max Verstappen,True
1122,Saudi Arabian Grand Prix,2024-03-09,Max Verstappen,0.0072546373,"['Max Verstappen', 'Nico Hulkenberg', 'George Russell']",Max Verstappen,True
1123,Australian Grand Prix,2024-03-24,Max Verstappen,0.014751875,"['Max Verstappen', 'Fernando Alonso', 'Oscar Piastri']",Carlos Sainz,False
1124,Japanese Grand Prix,2024-04-07,Max Verstappen,0.0052140797,"['Max Verstappen', 'George Russell', 'Charles Leclerc']",Max Verstappen,True
1125,Chinese Grand Prix,2024-04-21,Max Verstappen,0.007855856,"['Max Verstappen', 'Fernando Alonso', 'Lando Norris']",Max Verstappen,True
1126,Miami Grand Prix,2024-05-05,Max Verstappen,0.0040164003,"['Max Verstappen', 'Lance Stroll', 'Charles Leclerc']",Lando Norris,False
1127,Emilia Romagna Grand Prix,2024-05-19,Max Verstappen,0.0052140797,"['Max Verstappen', 'Nico Hulkenberg', 'Charles Leclerc']",Max Verstappen,True
1128,Monaco Grand Prix,2024-05-26,Max Verstappen,0.0054269126,"['Max Verstappen', 'Carlos Sainz', 'Esteban Ocon']",Charles Leclerc,False
1129,Canadian Grand Prix,2024-06-09,Max Verstappen,0.0049128644,"['Max Verstappen', 'Oscar Piastri', 'George Russell']",Max Verstappen,True
1130,Spanish Grand Prix,2024-06-23,Max Verstappen,0.0036125,"['Max Verstappen', 'Carlos Sainz', 'George Russell']",Max Verstappen,True
1131,Austrian Grand Prix,2024-06-30,Max Verstappen,0.006100797,"['Max Verstappen', 'Esteban Ocon', 'Oscar Piastri']",George Russell,False
1132,British Grand Prix,2024-07-07,Max Verstappen,0.10182065,"['Max Verstappen', 'George Russell', 'Daniel Ricciardo']",Lewis Hamilton,False
1133,Hungarian Grand Prix,2024-07-21,Charles Leclerc,0.003313838,"['Charles Leclerc', 'Max Verstappen', 'Yuki Tsunoda']",Oscar Piastri,False
1134,Belgian Grand Prix,2024-07-28,Max Verstappen,0.016502911,"['Max Verstappen', 'Kevin Magnussen', 'Logan Sargeant']",Lewis Hamilton,False
1135,Dutch Grand Prix,2024-08-25,Lando Norris,0.0033809254,"['Lando Norris', 'Max Verstappen', 'Charles Leclerc']",Lando Norris,True
1136,Italian Grand Prix,2024-09-01,Max Verstappen,0.007454167,"['Max Verstappen', 'Logan Sargeant', 'Fernando Alonso']",Charles Leclerc,False
1137,Azerbaijan Grand Prix,2024-09-15,Max Verstappen,0.0040164003,"['Max Verstappen', 'Lando Norris', 'George Russell']",Oscar Piastri,False
1138,Singapore Grand Prix,2024-09-22,Max Verstappen,0.006212207,"['Max Verstappen', 'Pierre Gasly', 'Oscar Piastri']",Lando Norris,False
1139,United States Grand Prix,2024-10-20,Max Verstappen,0.0036449896,"['Max Verstappen', 'Yuki Tsunoda', 'Lewis Hamilton']",Charles Leclerc,False
1140,Mexico City Grand Prix,2024-10-27,Max Verstappen,0.004187975,"['Max Verstappen', 'Alexander Albon', 'Fernando Alonso']",Carlos Sainz,False
1141,São Paulo Grand Prix,2024-11-03,Max Verstappen,0.0071338904,"['Max Verstappen', 'George Russell', 'Lewis Hamilton']",Max Verstappen,True
1142,Las Vegas Grand Prix,2024-11-23,Max Verstappen,0.01544788,"['Max Verstappen', 'Logan Sargeant', 'Lando Norris']",George Russell,False
1143,Qatar Grand Prix,2024-12-01,Max Verstappen,0.004405744,"['Max Verstappen', 'Fernando Alonso', 'Pierre Gasly']",Max Verstappen,True
1144,Abu Dhabi Grand Prix,2024-12-08,Max Verstappen,0.004635175,"['Max Verstappen', 'Sergio Perez', 'George Russell']",Lando Norris,False
